Year,yield_10y,inflation_yoy,real_yield
1962,3.946064257028113,1.19877334820186,2.747290908826253
1963,4.001566265060241,1.23966942148753,2.761896843572711
1964,4.18736,1.27891156462591,2.90844843537409
1965,4.283694779116466,1.58516926383662,2.6985255152798464
1966,4.92504,3.0150753768844,1.9099646231156
1967,5.072650602409638,2.77278562259309,2.2998649798165482
1968,5.64436,4.27179615288537,1.3725638471146295
1969,6.672741935483871,5.46238620028745,1.210355735196421
1970,7.3543199999999995,5.83825533848251,1.5160646615174898
1971,6.160883534136546,4.29276668813051,1.8681168460060356
1972,6.20604,3.27227824655283,2.9337617534471696
1973,6.848104838709677,6.17776006377038,0.6703447749392968
1974,7.562409638554216,11.0548048048048,-3.492395166250583
1975,7.993935742971888,9.14314686496535,-1.1492111219934626
1976,7.61272,5.74481263549085,1.8679073645091506
1977,7.417630522088354,6.5016839947284,0.9159465273599539
1978,8.408387096774195,7.63096383885606,0.7774232579181355
1979,9.432943548387096,11.2544711292795,-1.821527580892404
1980,11.433440000000001,13.5492019749684,-2.1157619749683985
1981,13.92136546184739,10.3347153402771,3.5866501215702904
1982,13.005502008032128,6.13142700027493,6.874075007757198
1983,11.103,3.21243523316065,7.89056476683935
1984,12.458112449799197,4.30053547523429,8.157576974564908
1985,10.619798387096774,3.54564415209365,7.074154235003124
1986,7.67284,1.89804772234276,5.77479227765724
1987,8.39268,3.6645632175169,4.7281167824831005
1988,8.848,4.07774110744413,4.770258892555871
1989,8.49372,4.82700303008944,3.66671696991056
1990,8.5524,5.39795643990325,3.154443560096751
1991,7.86236,4.23496396453849,3.6273960354615093
1992,7.008844621513944,3.02881967814969,3.980024943364254
1993,5.86628,2.95165696638559,2.9146230336144097
1994,7.085180722891566,2.60744159215453,4.477739130737037
1995,6.57392,2.80541968853662,3.7685003114633804
1996,6.443531746031746,2.93120419993441,3.5123275460973358
1997,6.35396,2.33768993730735,4.01627006269265
1998,5.26288,1.55227909874364,3.71060090125636
1999,5.646135458167331,2.18802719697358,3.458108261193751
2000,6.030278884462151,3.37685727149929,2.6534216129628607
2001,5.0206854838709685,2.82617111885407,2.1945143650168983
2002,4.61308,1.58603162650601,3.02704837349399
2003,4.01388,2.27009497336115,1.7437850266388502
2004,4.271319999999999,2.67723669309172,1.5940833069082792
2005,4.28888,3.3927468454955,0.8961331545044997
2006,4.795,3.22594410070404,1.56905589929596
2007,4.634661354581673,2.85267248150138,1.7819888730802926
2008,3.6642629482071714,3.839100296651,-0.1748373484438286
2009,3.2641199999999997,-0.355546266299747,3.6196662662997467
2010,3.2150597609561755,1.6400434423899,1.5750163185662756
2011,2.78164,3.156841568622,-0.37520156862200027
2012,1.8034400000000002,2.06933726526067,-0.2658972652606697
2013,2.35016,1.46483265562717,0.8853273443728298
2014,2.53956,1.62222297740817,0.9173370225918298
2015,2.1382868525896415,0.118627135552451,2.0196597170371904
2016,1.83744,1.26158320570536,0.57585679429464
2017,2.32948,2.13011000365961,0.1993699963403901
2018,2.9112449799196787,2.44258329692817,0.4686616829915087
2019,2.1414,1.81221007526021,0.32918992473979003
2020,0.889203187250996,1.23358439630629,-0.344381209055294
2021,1.4468525896414344,4.69785886363742,-3.251006273995986
2022,2.9505622489959835,8.00279982052121,-5.052237571525226
